bought,921
returned,213
three,203
these,641
units,57
now,811
Each,189
defective,98
finally,221
just,1567
gave,170
up,1328
returning,86
system,454
DVD,290
player,282
constantly,76
gives,54
Bad,465
Disc,75
errors,78
skips,5
there,1300
even,1144
slightest,7
smudge,5
sound,288
quality,634
very,1388
nice,249
price,359
but,3404
since,452
doesn,459
work,1075
essentially,25
useless,173
complete,110
rip,32
off,623
any,759
point,229
used,614
pack,50
doing,139
backups,14
last,240
or,1837
so,2175
failed,81
thought,300
was,3851
software,943
got,751
new,727
Guess,162
first,742
out,1593
package,141
too,598
not,4515
burner,27
another,562
reviewer,53
suggested,22
implying,1
people,339
should,412
learn,111
read,291
brand,145
require,33
firmware,64
upgrade,211
they,2147
mention,74
suck,28
high,168
failure,28
rate,54
consensus,1
seems,189
TDK,4
Sony,365
best,235
buying,274
some,834
save,258
myself,99
frustration,51
discs,64
CompUSA,11
because,916
needed,145
few,398
before,503
ones,101
ordered,130
online,178
Well,652
wated,2
good,1022
bucks,70
burned,28
much,707
bang,5
buck,4
many,478
never,564
Memorex,18
usually,63
Verbatim,10
Ridata,3
MAM,2
disgruntled,2
making,149
coasters,9
Maybe,194
burners,4
don,1089
like,1219
them,987
whatever,54
case,495
won,256
buy,925
ever,304
again,566
made,361
products,221
DVDs,50
successfully,21
showed,21
movies,51
excellent,62
only,1279
problem,677
every,382
burns,4
get,1649
using,511
Plextor,3
love,122
going,351
try,338
luck,85
different,272
unacceptable,35
less,250
cost,198
bothers,1
more,1069
time,1344
wasted,76
burning,27
Please,124
expect,104
cash,18
back,859
from,1716
purchase,266
promised,21
date,69
denied,4
twice,68
second,218
said,316
number,207
invalid,12
original,91
barcode,4
meticulous,1
filing,24
paperwork,7
yet,178
state,88
All,1903
required,38
submitted,11
Meanwhile,4
phoned,3
AMAZ,1
lodge,1
formal,1
complaint,34
product,1410
itself,125
average,69
better,692
worse,139
definitely,72
worth,231
full,162
asking,22
No,1563
free,226
lunch,3
pay,240
verdict,1
poor,255
rating,52
given,109
by,903
those,217
who,365
purchased,416
discouraged,2
need,441
binders,2
Logic,9
while,422
being,321
pricey,3
Low,207
alternatives,12
expense,21
TCO,1
total,77
ownership,3
flap,6
about,1123
customer,398
service,441
rebates,10
zippers,8
sleeve,4
binding,3
enough,283
give,275
pause,15
someone,183
Xtreme,2
management,32
paying,47
attention,34
fix,189
content,17
lose,64
business,116
isn,192
everything,212
everyone,81
markt,1
your,1494
card,483
such,211
disappointment,73
soooo,3
sloooooow,2
use,1237
digital,322
camera,1869
mp,185
ipaq,18
takes,222
forever,39
copy,117
anything,284
month,160
ago,184
DX,14
kodak,82
worked,353
days,296
After,1293
everytime,30
wanted,215
reformat,15
WTH,3
can,1776
always,203
confidence,8
previous,136
purchases,10
Amazon,463
mistake,112
threw,21
away,250
shipping,136
packages,13
once,223
tested,38
would,1598
OK,197
longer,149
return,319
Needless,22
say,330
over,631
confident,3
LEXAR,23
Buyers,13
beware,68
other,926
found,360
cards,144
formatted,10
SD,83
Audio,90
waste,284
money,695
express,19
spent,148
endless,23
tech,213
support,662
old,348
story,99
must,213
computer,627
did,736
fly,6
either,237
machine,136
media,81
type,107
far,273
exceeds,2
requirements,32
advertised,64
ADS,13
exchanged,19
item,297
supposedly,17
checked,42
Same,662
problems,393
told,240
person,140
having,240
trouble,75
check,126
websites,19
review,198
hundreds,16
reviews,279
reading,125
also,738
Ulead,7
Movie,73
Factory,27
came,290
bundled,6
Uleads,1
Cap,16
Wiz,2
Their,782
program,509
DUH,4
had,1656
several,276
complaints,27
final,86
solution,61
hold,198
will,1581
version,505
might,208
yourself,140
aggravation,9
consider,64
refund,135
allow,85
trade,10
think,341
want,521
reason,168
star,127
packed,7
JU,1
When,1675
batteries,234
pleased,29
wore,8
couple,134
months,368
often,130
do,1214
ther,2
charge,213
recharge,12
per,62
instructions,77
know,398
Monster,17
makes,220
am,808
little,340
disappointed,226
Emerging,1
Power,176
mAH,16
site,130
great,656
Why,324
anyone,166
almost,253
Ridiculous,57
wish,117
sturdy,11
textbooks,3
put,311
textbook,1
turn,195
page,105
collapses,1
tears,4
wouldn,186
notebook,16
We,663
clock,44
radio,115
home,200
set,278
realized,31
didn,417
battery,500
called,238
find,471
necessary,34
feature,139
alarm,53
clocks,2
how,519
bizarre,4
carry,60
models,41
according,30
representative,10
center,77
Boxed,5
right,371
okay,52
deserve,13
chance,61
however,399
trust,37
indeed,27
wake,7
around,289
CD,287
LCD,114
stopped,117
working,306
within,147
nap,1
function,95
works,361
could,724
damn,17
receipt,19
ten,32
minutes,251
box,269
two,581
pieces,43
fallen,8
importantly,8
handle,40
large,86
manuals,7
particular,34
book,49
holder,11
manual,131
fits,39
happen,53
middle,43
chapter,7
Based,85
estimate,11
totally,94
worthless,68
needing,11
go,495
through,382
training,6
than,961
five,55
six,52
hundred,21
pages,66
anticipate,1
big,212
then,919
glue,13
rubber,28
feet,57
keep,221
eye,75
retainers,1
parts,36
fell,23
policy,47
see,466
rid,36
hunk,4
plastic,168
worst,173
thing,504
owned,99
broke,112
inside,107
week,167
favor,35
sears,1
sucked,7
whole,114
reader,40
considered,11
SanDisk,30
decided,142
mostly,45
Memory,269
stick,108
MB,61
GB,87
insert,36
GIG,21
into,493
tried,435
hard,344
trying,313
break,85
success,21
surprise,15
May,264
contacted,71
explanation,17
way,606
send,187
Pros,52
Perfect,59
solved,16
resampling,1
issues,122
Cons,51
famous,1
popping,6
crackling,5
noises,5
gaming,28
especially,121
BF,4
OpenAL,1
Creative,35
Crystallizer,1
most,468
advanced,22
processor,25
does,710
least,201
end,236
systems,38
NVidia,8
NForce,1
chipset,6
AMD,6
Intel,11
CPU,48
motherboards,3
Google,24
Fi,18
game,1379
immediately,70
HD,56
driver,56
configuration,15
change,124
long,320
existence,4
Eventually,67
recognized,25
official,5
CL,2
forums,26
November,12
beta,19
published,2
solve,33
audigy,2
zs,1
unofficial,3
hacked,1
drivers,78
suspect,17
architecture,2
design,172
flow,16
cannot,218
completely,193
level,126
PCI,21
bus,11
provide,67
sufficient,16
access,118
fastest,13
simultaneously,5
graphic,15
controller,97
devices,46
Bottom,96
stop,98
playing,177
games,309
integrated,13
take,507
risk,23
wait,149
manufacturer,82
fixed,63
stars,126
UPDATE,141
desktop,59
really,633
slow,194
south,8
bridge,9
connecting,16
USB,158
Firewire,34
directly,61
north,7
MBs,8
chipsets,2
BIOS,3
updates,62
cases,47
Asrock,1
NF,1
SATA,4
MCP,1
situation,18
still,604
marginal,8
unstable,16
contact,88
pointed,19
ATI,9
Athlon,5
SB,11
seller,35
majority,11
workstation,2
class,20
upscale,2
fine,276
generic,25
instead,200
release,85
years,348
four,73
CFII,1
lost,143
data,149
wrote,19
sent,190
size,157
girlfriend,5
her,113
pix,8
care,76
losing,21
ziplock,1
None,86
file,160
removal,12
programs,137
images,152
help,305
day,317
age,22
make,474
upset,30
chances,5
picture,324
grand,9
mother,13
actual,55
written,64
haven,102
tells,24
important,55
pictures,556
Frederic,1
receiver,63
Delorme,24
conform,2
standard,94
unlike,38
receivers,18
accurate,21
looking,261
area,74
blocks,32
surronding,2
instances,7
facility,10
shown,16
located,14
actually,296
Microsoft,264
locating,3
facilities,3
properly,115
device,190
initialized,2
sometimes,144
unable,78
cable,213
GPS,61
side,134
pulls,7
slightly,43
fiddling,5
seem,114
accomplish,11
Real,136
irritating,20
road,36
printed,36
atlas,6
misbound,2
lacks,15
son,55
graduation,5
family,46
holiday,6
became,24
corrupted,28
during,122
brother,22
wedding,15
photos,199
event,16
believe,128
happened,97
iPod,112
remember,51
soon,90
avoid,91
walmart,12
remove,78
scuff,2
repair,133
process,117
track,32
entire,112
disk,94
unplayable,6
Took,322
billions,1
CDs,40
world,71
st,31
century,5
offer,64
Nikon,119
Coolpix,18
Fuji,36
TJ,1
supported,31
nearly,66
comes,148
web,128
browser,19
downloadable,1
Eudora,1
except,79
display,101
text,58
fill,22
forms,35
webmail,1
searches,3
etc,166
impossible,84
designed,102
NetFront,1
CLIE,2
Mail,109
Internet,163
enabled,8
obviously,65
available,144
separately,11
connect,76
wireless,118
network,96
neighbors,7
though,264
PowerBook,10
additional,52
attempting,28
responding,7
lock,43
handheld,21
line,185
PDA,23
skipping,6
noticeably,6
although,119
sure,271
fact,179
changer,12
conjunction,4
Ultra,15
II,33
compact,48
flash,261
slide,31
easily,121
stuck,93
halfway,4
unit,370
sliders,3
left,151
pins,6
add,97
insult,9
injury,9
both,244
manufactured,20
Therefore,32
seamlessly,2
together,80
pathetically,3
rather,125
dollars,84
comparison,25
accepts,10
perfectly,58
effortless,1
expected,76
Surprisingly,7
topple,1
stands,13
vertically,8
looks,168
fall,40
Sliding,5
handed,11
hand,88
holds,25
slides,14
Removing,17
extremely,123
easy,291
Eject,13
PC,278
drive,194
transfer,59
quick,63
Overall,104
glad,26
annoyance,14
hate,58
getting,231
POS,10
paid,118
pretty,226
cheap,197
its,540
effort,36
weren,21
code,54
MCC,1
RG,1
DVDRW,1
IDE,2
tv,138
Dec,7
extended,30
warranty,200
sets,23
kinds,9
video,351
owners,8
company,256
QUALXSERV,1
come,247
guarantee,19
Bran,2
easier,71
earlier,45
relied,1
clips,34
switch,100
frequency,14
experiment,6
deal,108
position,24
signal,65
reaches,3
car,207
adequately,5
rabbit,3
ears,28
antennas,1
FM,31
coverage,13
cover,161
ll,307
charger,164
modulator,2
docking,11
connector,35
extendable,1
arm,14
breaks,21
waiting,87
replacement,157
incredibly,38
slowest,4
dozen,23
handles,3
small,272
numbers,61
files,244
chokes,1
whenever,26
faced,6
quantity,1
attempted,26
directories,2
roughly,8
Deleting,14
painful,21
taking,133
delete,33
kicks,7
popped,17
Kingston,16
able,314
under,155
seconds,98
fooled,16
physical,12
capacity,22
simply,150
perform,33
replace,105
Documents,38
folder,38
seemed,97
goes,75
Players,48
Sansa,4
Series,74
Received,232
Comments,18
repaired,47
replaced,80
without,342
notifying,5
status,17
respond,47
Apple,70
turns,58
repairs,24
stereo,33
relatively,17
stylish,11
appearance,11
aux,2
inputs,12
hook,16
Philips,29
Fortunately,18
sending,35
until,238
arrived,52
short,149
order,217
year,403
cassette,14
boombox,3
replacing,25
listening,31
comparing,9
CMT,6
NE,7
bookshelf,4
own,202
here,216
thoughts,6
reception,58
thin,36
wire,25
antenna,47
wires,15
length,23
hiss,8
crackle,3
moved,24
room,64
body,32
interfered,2
song,11
stereos,3
flat,34
tinny,9
compared,69
fuller,1
richer,3
significant,19
distortion,14
frequencies,3
sounds,64
noticed,33
occasional,9
possibly,28
due,107
input,30
ergonomics,2
tip,14
forwards,1
accidentally,14
bumped,7
